column_id,abbrev_name,full_name
282,sy_w1mag,W1 (WISE) Magnitude
283,sy_w1magerr1,W1 (WISE) Magnitude Upper Unc
284,sy_w1magerr2,W1 (WISE) Magnitude Lower Unc
285,sy_w1mag_reflink,W1 (WISE) Magnitude Reference
286,sy_w2mag,W2 (WISE) Magnitude
287,sy_w2magerr1,W2 (WISE) Magnitude Upper Unc
288,sy_w2magerr2,W2 (WISE) Magnitude Lower Unc
289,sy_w2mag_reflink,W2 (WISE) Magnitude Reference
290,sy_w3mag,W3 (WISE) Magnitude
291,sy_w3magerr1,W3 (WISE) Magnitude Upper Unc
292,sy_w3magerr2,W3 (WISE) Magnitude Lower Unc
293,sy_w3mag_reflink,W3 (WISE) Magnitude Reference
294,sy_w4mag,W4 (WISE) Magnitude
295,sy_w4magerr1,W4 (WISE) Magnitude Upper Unc
296,sy_w4magerr2,W4 (WISE) Magnitude Lower Unc
297,sy_w4mag_reflink,W4 (WISE) Magnitude Reference
298,sy_gaiamag,Gaia Magnitude
299,sy_gaiamagerr1,Gaia Magnitude Upper Unc
300,sy_gaiamagerr2,Gaia Magnitude Lower Unc
301,sy_gaiamag_reflink,Gaia Magnitude Reference
302,sy_icmag,I (Cousins) Magnitude
303,sy_icmagerr1,I (Cousins) Magnitude Upper Unc
304,sy_icmagerr2,I (Cousins) Magnitude Lower Unc
305,sy_icmag_reflink,I (Cousins) Magnitude Reference
306,sy_tmag,TESS Magnitude
307,sy_tmagerr1,TESS Magnitude Upper Unc
308,sy_tmagerr2,TESS Magnitude Lower Unc
309,sy_tmag_reflink,TESS Magnitude Reference
310,sy_kepmag,Kepler Magnitude
311,sy_kepmagerr1,Kepler Magnitude Upper Unc
312,sy_kepmagerr2,Kepler Magnitude Lower Unc
313,sy_kepmag_reflink,Kepler Magnitude Reference
314,pl_nnotes,Number of Notes
315,st_nphot,Number of Photometry Time Series
316,st_nrvc,Number of Radial Velocity Time Series
317,st_nspec,Number of Stellar Spectra Measurements
318,pl_nespec,Number of Eclipse Spectra
319,pl_ntranspec,Number of Transmission Spectra
320,pl_ndispec,Number of Direct Imaging Spectra
